order_id,product,quantity,unit_price
1,Widget A,1,9.99
2,Widget B,8,19.99
2,Widget B,8,19.99
4,,2,29.99
5,Widget B,8,19.99
6,Widget A,18,9.99
7,Gizmo Z,14,14.99
8,Gizmo Z,9,14.99
9,Widget A,6,9.99
10,Gadget X,9,49.99
10,Gadget X,9,49.99
12,Widget A,12,9.99
13,Gizmo Z,9,14.99
14,Gadget Y,18,29.99
15,Gadget Y,3,29.99
16,Gizmo Z,12,14.99
17,Widget A,2,9.99
18,Gadget X,3,49.99
19,Widget A,13,9.99
20,Gadget X,6,49.99
21,Widget B,9,19.99
22,Widget A,20,9.99
23,Gizmo Z,8,14.99
24,Gadget Y,9,29.99
25,Gizmo Z,8,14.99
26,Widget A,8,9.99
27,Gadget X,13,49.99
28,Widget B,19,19.99
29,Gadget X,7,49.99
30,Gadget Y,15,29.99
31,Widget B,8,19.99
32,Gizmo Z,9,14.99
33,Gadget Y,19,29.99
34,Widget B,5,19.99
35,Widget A,2,9.99
36,Widget B,6,19.99
37,Gadget Y,-20,29.99
38,Gadget Y,20,29.99
39,Gizmo Z,9,14.99
40,Widget A,4,9.99
41,Gizmo Z,9,14.99
42,Gadget X,4,49.99
43,,15,19.99
44,Gadget X,17,49.99
45,Gizmo Z,4,14.99
46,Gadget X,17,49.99
47,Widget B,12,19.99
48,Gizmo Z,17,14.99
49,Gizmo Z,11,14.99
50,Widget A,12,9.99
